SNOMED_CID,SNOMED_FSN,SNOMED_ENTITY,UMLS_CUI
214031005,Motor vehicle traffic accident ,event,C2939181
102589003,Atypical chest pain ,finding,C0262384
39450006,Senile cataract ,disorder,C0036646
88610006,Heart murmur ,finding,C0018808
166603001,Liver function tests abnormal ,finding,C0151766
194828000,Angina ,disorder,C0002962
390951007,Impaired fasting glycemia ,disorder,C1272092
413838009,Chronic ischemic heart disease ,disorder,C0264694
40055000,Chronic sinusitis ,disorder,C0149516
289903006,Menopause present ,finding,C0567312
27355003,Toothache ,finding,C0040460
254701007,Basal cell carcinoma of skin ,disorder,C4721806
9826008,Conjunctivitis ,disorder,C0009763
20135006,Screening procedure ,procedure,C0220908
396152005,Raised prostate specific antigen ,finding,C0178415
9414007,Impaired glucose tolerance ,disorder,C0271650
77176002,Smoker ,finding,C0337664
202882003,Plantar fasciitis ,disorder,C0149756
302870006,Hypertriglyceridemia ,disorder,C0020557
80182007,Irregular periods ,finding,C0156404
4740000,Herpes zoster ,disorder,C0019360
60700002,Sensorineural hearing loss ,disorder,C0018784
12063002,Rectal hemorrhage ,disorder,C0267596
161615003,History of surgery ,situation,C0455610
13200003,Peptic ulcer ,disorder,C0030920
270352002,Medical examinations/reports ,procedure,C0421950
60862001,Tinnitus ,finding,C0040264
95315005,Uterine leiomyoma ,disorder,C0042133
13746004,Bipolar disorder ,disorder,C0005586
34713006,Vitamin D deficiency ,disorder,C0042870
266257000,Transient ischemic attack ,disorder,C0007787
43878008,Streptococcal sore throat ,disorder,C0036689
414941008,Onychomycosis ,disorder,C0040261
128053003,Deep venous thrombosis ,disorder,C0149871
41256004,Presbyopia ,disorder,C0033075
110466009,Pre-surgery evaluation ,procedure,C1293091
103735009,Palliative care ,regime/therapy,C0030231
387712008,Neonatal jaundice ,disorder,C0022353
419760006,Bacterial vaginosis ,disorder,C0085166
267102003,Sore throat symptom ,finding,C0242429
18070006,Impacted cerumen ,disorder,C0021092
47933007,Foot pain ,finding,C0016512
23056005,Sciatica ,disorder,C0036396
271809000,Peripheral edema ,disorder,C0085649
422400008,Vomiting ,disorder,C0042963
428283002,History of polyp of colon ,situation,C1997022
236646007,Benign prostatic hyperplasia with outflow obstruction ,disorder,C0341740
313436004,Type II diabetes mellitus without complication ,disorder,C0494290
266474003,Calculus in biliary tract ,disorder,C0008350
79922009,Epigastric pain ,finding,C0232493
195239002,Late effects of cerebrovascular disease ,disorder,C0155732
25374005,Inflammation of stomach and intestine ,disorder,C0017160
59282003,Pulmonary embolism ,disorder,C0034065
396232000,Inguinal hernia ,disorder,C0019294
57019003,Verruca vulgaris ,disorder,C3665596
262285001,Weight decreased ,finding,C1262477
91302008,Sepsis ,disorder,C0243026
127013003,Disorder of kidney due to diabetes mellitus ,disorder,C0011881
399261000,History of coronary artery bypass grafting ,situation,C1275842
275978004,Screening for malignant neoplasm of colon ,procedure,C0554837
16932000,Nausea and vomiting ,disorder,C0027498
34486009,Hyperthyroidism ,disorder,C0020550
128477000,Abscess ,disorder,C0000833
80967001,Dental caries ,disorder,C0011334
74474003,Gastrointestinal hemorrhage ,disorder,C0017181
398909004,Rosacea ,disorder,C0035854
49049000,Parkinson's disease ,disorder,C0030567
443694000,Type II diabetes mellitus uncontrolled ,finding,C2733146
414033006,Disorder of rotator cuff ,disorder,C1532240
386692008,Menorrhagia ,finding,C0025323
363358000,Malignant tumor of lung ,disorder,C0242379
57676002,Joint pain ,finding,C0003862
238136002,Morbid obesity ,disorder,C0028756
371088008,Reactive airways dysfunction syndrome ,disorder,C1299633
82991003,Generalized aches and pains ,finding,C0281856
84089009,Hiatal hernia ,disorder,C3489393
267954009,Arthralgia of the ankle and/or foot ,finding,C0423658
32914008,Restless legs ,disorder,C0035258
302215000,Thrombocytopenic disorder ,disorder,C0040034
1755008,Old myocardial infarction ,disorder,C0155668
386033004,Neuropathy ,disorder,C0442874
85898001,Cardiomyopathy ,disorder,C0878544
926335004,Rupture of rotator cuff of shoulder ,disorder,C5399759
281900007,No abnormality detected ,finding,C0559229
24079001,Atopic dermatitis ,disorder,C0011615
281239006,Exacerbation of asthma ,disorder,C0349790
30473006,Pain in pelvis ,finding,C0030794
40275004,Contact dermatitis ,disorder,C0011616
162031009,Indigestion ,finding,C0013395
56294008,Nicotine dependence ,disorder,C0028043
44465007,Sprain of ankle ,disorder,C0160087
173422009,Tonsillectomy ,procedure,C0040423
422338006,Degenerative disorder of macula ,disorder,C0024437
254838004,Carcinoma of breast ,disorder,C0678222
427359005,Solitary nodule of lung ,finding,C2350019
66590003,Alcohol dependence ,disorder,C0001973
43339004,Hypokalemia ,disorder,C0020621
28913000,Tonsillectomy and adenoidectomy ,procedure,C0193959
48724000,Mitral valve regurgitation ,disorder,C0026266
185317003,Telephone encounter ,procedure,C0422284
398780007,Contraception education ,procedure,C1636201
89627008,Hyponatremia ,disorder,C0020625
4.4991E+13,Abnormal uterine bleeding ,disorder,C3650625
233985008,Abdominal aortic aneurysm ,disorder,C0162871
95324001,Skin lesion ,disorder,C0037284
410083007,Rehabilitation therapy management ,procedure,C1444227
79883001,Cyst of ovary ,disorder,C0029927
3135009,Otitis externa ,disorder,C0029878
162116003,Increased frequency of urination ,finding,C0042023
298382003,Scoliosis deformity of spine ,disorder,C0036439
8517006,Ex-smoker ,finding,C0337671
54048003,Threatened abortion ,disorder,C0000821
237495005,Thyroid nodule ,disorder,C0040137
50563003,Seborrheic dermatitis ,disorder,C0036508
76107001,Spinal stenosis ,disorder,C0037944
266599000,Dysmenorrhea ,disorder,C0013390
168750009,Mammography abnormal ,finding,C0262365
3110003,Acute otitis media ,disorder,C0271429
26929004,Alzheimer's disease ,disorder,C0002395
230572002,Neuropathy due to diabetes mellitus ,disorder,C0011882
363746003,Acute pharyngitis ,disorder,C0001344
77547008,Degeneration of intervertebral disc ,disorder,C0158266
35253001,"Attention deficit hyperactivity disorder, predominantly inattentive type ",disorder,C0339002
83074005,Unplanned pregnancy ,finding,C0041747
473021009,Secondary erectile dysfunction ,disorder,C0234017
18347007,Spinal stenosis of lumbar region ,disorder,C0158288
55566008,Accidental physical contact ,event,C1961149
29738008,Proteinuria ,finding,C0033687
384634009,Postnatal maternal examination ,procedure,C0587037
126485001,Urticaria ,disorder,C0042109
33839006,Genital herpes simplex ,disorder,C0019342
372064008,Malignant neoplasm of female breast ,disorder,C0235653
422587007,Nausea ,finding,C0027497
86094006,Chronic rhinitis ,disorder,C0008711
24700007,Multiple sclerosis ,disorder,C0026769
433144002,Chronic kidney disease stage 3 ,disorder,C2316787
371631005,Panic disorder ,disorder,C0030319
406506008,Attention deficit hyperactivity disorder ,disorder,C1263846
185903001,Needs influenza immunization ,finding,C1313967
190634004,Cobalamin deficiency ,disorder,C0042847
238040008,Familial combined hyperlipidemia ,disorder,C0020474
48167000,Amnesia ,finding,C0002622
73761001,Colonoscopy ,procedure,C0009378
301354004,Pain of ear ,finding,C0013456
26079004,Tremor ,finding,C0040822
302764009,Rubella non-immune ,finding,C0428047
267064002,Retention of urine ,disorder,C0080274
118601006,Non-Hodgkin's lymphoma ,disorder,C0024305
7200002,Alcoholism ,disorder,C0001973
49650001,Dysuria ,finding,C0013428
21897009,Generalized anxiety disorder ,disorder,C0270549
77543007,Ligation of fallopian tube ,procedure,C0520483
282825002,Paroxysmal atrial fibrillation ,disorder,C0235480
52052004,Rehabilitation therapy ,regime/therapy,C0034991
20696009,Peripheral venous insufficiency ,disorder,C0042485
390834004,Nonproliferative retinopathy due to diabetes mellitus ,disorder,C0004606
267949000,Shoulder joint pain ,finding,C0423670
18818009,Moderate recurrent major depression ,disorder,C0154411
307496006,Diverticulitis ,disorder,C0012813
14140009,Hyperkalemia ,disorder,C0020461
268621008,Recurrent major depressive episodes ,disorder,C0154409
243787009,Antenatal screening ,procedure,C0740178
109989006,Multiple myeloma ,disorder,C0026764
68905002,Regular astigmatism ,disorder,C0152193
94381002,Secondary malignant neoplasm of liver ,disorder,C0494165
64766004,Ulcerative colitis ,disorder,C0009324
30800001,Vaginitis ,disorder,C0042267
14669001,Acute renal failure syndrome ,disorder,C0022660
72892002,Normal pregnancy ,finding,C0232989
414396006,Hernia of anterior abdominal wall ,disorder,C0019326
14302001,Amenorrhea ,finding,C0002453
34840004,Tendinitis ,disorder,C0039503
70076002,Rhinitis ,disorder,C0035455
231504006,Mixed anxiety and depressive disorder ,disorder,C0338908
62914000,Cerebrovascular disease ,disorder,C0007820
102556003,Pain in upper limb ,finding,C0239377
249366005,Bleeding from nose ,finding,C0014591
34000006,Crohn's disease ,disorder,C0010346
193589009,Nuclear senile cataract ,disorder,C0271166
68962001,Muscle pain ,finding,C0231528
408968008,Contraception care education ,procedure,C1443484
419893006,Epidermoid cyst ,disorder,C0014511
386806002,Impaired cognition ,finding,C0338656
195951007,Acute exacerbation of chronic obstructive airways disease ,disorder,C0340044
182770003,Pre-anesthetic assessment ,procedure,C0474221
69494008,Eustachian tube disorder ,disorder,C0271468
90458007,Internal hemorrhoids ,disorder,C0265034
66214007,Substance abuse ,disorder,C0740858
400096001,Melanocytic nevus ,disorder,C0027962
22253000,Pain ,finding,C0030193
302914006,Barrett's esophagus ,disorder,C0004763
271939006,Vaginal discharge ,finding,C0227791
281031002,Well woman health examination ,procedure,C0420152
372244006,Malignant melanoma ,disorder,C0025202
13600006,Folliculitis ,disorder,C0016436
160303001,Family history of diabetes mellitus ,situation,C1313937
409712001,Mitral valve prolapse ,disorder,C0026267
128302006,Chronic hepatitis C ,disorder,C0524910
19943007,Cirrhosis of liver ,disorder,C0023890
767357000,Sampling of cervix for Papanicolaou smear done ,situation,C0586316
38101003,Hypermetropia ,disorder,C0020490
129103003,Endometriosis ,disorder,C0014175
230691006,Cerebrovascular accident due to occlusion of cerebral artery ,disorder,C0393951
11687002,Gestational diabetes mellitus ,disorder,C0085207
82271004,Injury of head ,disorder,C0018674
34095006,Dehydration ,disorder,C0011175
88594005,Herpes simplex ,disorder,C0019348
125605004,Fracture of bone ,disorder,C0016658
238131007,Overweight ,finding,C0497406
236021006,Right inguinal hernia ,disorder,C0262617
17226007,Adjustment disorder ,disorder,C0001546
6020002,Tinea pedis ,disorder,C0040259
60573004,Aortic valve stenosis ,disorder,C0003507
66071002,Viral hepatitis type B ,disorder,C0019163
396347007,Umbilical hernia ,disorder,C0019322
400097005,Ingrowing nail ,disorder,C0027343
76742009,Postmenopausal bleeding ,finding,C0032776
185389009,Follow-up visit ,procedure,C0589121
3716002,Goiter ,disorder,C0018021
94222008,Secondary malignant neoplasm of bone ,disorder,C0153690
87433001,Pulmonary emphysema ,disorder,C0034067
236022004,Left inguinal hernia ,disorder,C0262537
72863001,Snoring ,finding,C0037384
22298006,Myocardial infarction ,disorder,C0027051
279084009,Chest discomfort ,finding,C0235710
171128005,Venereal disease screening ,procedure,C0199231
237055002,Polycystic ovary syndrome ,disorder,C0032460
781067001,Polycystic ovary ,disorder,C0032460
11466000,Cesarean section ,procedure,C0007876
197940006,Microscopic hematuria ,disorder,C0239937
56608008,Pain in wrist ,finding,C0221785
415076002,Personal history of primary malignant neoplasm of breast ,situation,C1387407
60046008,Pleural effusion ,disorder,C0032227
232717009,Coronary artery bypass grafting ,procedure,C0010055
236648008,Acute retention of urine ,disorder,C0341742
199047001,False labor ,finding,C0085598
289530006,Bleeding from vagina ,finding,C2979982
274714007,Shadow of lung ,finding,C0476367
111566002,Acquired hypothyroidism ,disorder,C0700502
44223004,Premature rupture of membranes ,disorder,C0015944
86406008,Human immunodeficiency virus infection ,disorder,C0019693
125667009,Contusion ,disorder,C0009938
94391008,Secondary malignant neoplasm of lung ,disorder,C0153676
271437004,Problem situation relating to social and personal history ,finding,C0578883
66931009,Hypercalcemia ,disorder,C0020437
19063003,Arthroplasty of knee ,procedure,C0086511
266254007,Occlusion of carotid artery ,disorder,C0265101
77259008,Prolonged second stage of labor ,disorder,C0157266
93163002,Lipoma ,disorder,C0023798
7895008,Poisoning caused by drug AND/OR medicinal substance ,disorder,C0013221
64905009,Paranoid schizophrenia ,disorder,C0036349
183646003,Postoperative visit ,finding,C0580703
72605008,Candidal vulvovaginitis ,disorder,C0700345
161805006,History of cesarean section ,situation,C0475172
421961002,Hypersensitivity reaction ,disorder,C0020517
78667006,Dysthymia ,disorder,C0013415
206037001,Fetal or neonatal effect of maternal premature rupture of membrane ,disorder,C0411160
7058009,Noncompliance with treatment ,finding,C0376405
161898004,Falls ,finding,C0085639
48532005,Muscle strain ,disorder,C0080194
58214004,Schizophrenia ,disorder,C0036341
63467002,Left bundle branch block ,disorder,C0023211
371622005,Elevated blood pressure reading without diagnosis of hypertension ,situation,C0392682
421326000,Disorder of nervous system due to type 2 diabetes mellitus ,disorder,C1719988
4557003,Preinfarction syndrome ,disorder,C0086666
44808001,Conduction disorder of the heart ,disorder,C0264886
202855006,Lateral epicondylitis ,disorder,C0039516
125666000,Burn ,disorder,C0006434
11530004,Brittle diabetes mellitus ,finding,C0342302
45816000,Pyelonephritis ,disorder,C0034186
63491006,Intermittent claudication ,finding,C0021775
72866009,Varicose veins of lower extremity ,disorder,C0155778
50582007,Hemiplegia ,disorder,C0018991
30549001,Removal of suture ,procedure,C0184936
134407002,Chronic back pain ,finding,C0740418
82423001,Chronic pain ,finding,C0150055
4120002,Bronchiolitis ,disorder,C0006271
426979002,Mild persistent asthma ,disorder,C1960046
94392001,Secondary malignant neoplasm of lymph node ,disorder,C0686619
267434003,Mixed hyperlipidemia ,disorder,C2047520
60241006,Female urinary stress incontinence ,finding,C0038437
201837004,"Localized, primary osteoarthritis of the ankle and/or foot ",disorder,C0263759
397974008,Hypesthesia ,finding,C0020580
53057004,Hand pain ,finding,C0239833
69322001,Psychotic disorder ,disorder,C0033975
123756000,Menopausal syndrome ,disorder,C0025319
54329005,Acute myocardial infarction of anterior wall ,disorder,C2349195
266717002,Hormone replacement therapy ,procedure,C0282402
12295008,Bronchiectasis ,disorder,C0006267
128196005,Lumbar radiculopathy ,disorder,C1263855
239872002,Osteoarthritis of hip ,disorder,C0029410
394659003,Acute coronary syndrome ,disorder,C0948089
254582000,Adenocarcinoma of rectum ,disorder,C0149978
126660000,Deviated nasal septum ,disorder,C0549397
60845006,Dyspnea on exertion ,finding,C0231807
91019004,Paresthesia ,finding,C0030554
302866003,Hypoglycemia ,disorder,C0020615
404223003,Deep venous thrombosis of lower extremity ,disorder,C0340708
88797001,Complication of surgical procedure ,disorder,C0274311
427679007,Mild intermittent asthma ,disorder,C1960045
162673000,General examination of patient ,procedure,C0436117
309737007,Abdominal pain in pregnancy ,finding,C0587223
55464009,Systemic lupus erythematosus ,disorder,C0024141
194849004,Generalized ischemic myocardial dysfunction ,disorder,C0349782
405729008,Hematochezia ,finding,C0018932
95344007,Ulcer of lower extremity ,disorder,C0023223
239880009,Lumbar spondylosis ,disorder,C0149983
17741008,Acute tonsillitis ,disorder,C0001361
16761005,Esophagitis ,disorder,C0014868
60234000,Aortic valve regurgitation ,disorder,C0003504
372130007,Malignant neoplasm of skin ,disorder,C0007114
419284004,Altered mental status ,finding,C0278061
5370000,Atrial flutter ,disorder,C0004239
56317004,Alopecia ,disorder,C0002170
47200007,High risk pregnancy ,finding,C0242786
166643006,Liver enzymes abnormal ,finding,C0438237
16607004,Missed abortion ,disorder,C0000814
399326009,Malignant tumor of urinary bladder ,disorder,C0005684
70995007,Pulmonary hypertension ,disorder,C0020542
68235000,Nasal congestion ,finding,C0027424
309523001,Artificial lens present ,finding,C0587046
247355005,Flank pain ,finding,C0016199
66857006,Hemoptysis ,finding,C0019079
111843007,Viral gastroenteritis ,disorder,C0152517
301717006,Right upper quadrant pain ,finding,C0235299
77075001,Primary open angle glaucoma ,disorder,C0339573
363443007,Malignant tumor of ovary ,disorder,C1140680
249288007,Incomplete emptying of bladder ,finding,C0344365
279333002,Pruritic disorder ,disorder,C0033774
27431007,Fibrocystic breast changes ,finding,C0016034
183644000,Surgical follow-up ,finding,C0481523
84849002,Tinea corporis ,disorder,C0040252
127296001,Intracranial injury ,disorder,C0347535
57419008,Gastroenteritis presumed infectious ,disorder,C0277534
190828008,Gouty arthropathy ,disorder,C0003868
197456007,Acute pancreatitis ,disorder,C0001339
57054005,Acute myocardial infarction ,disorder,C0155626
225457007,Feeling suicidal ,finding,C0424000
274100004,Cerebral hemorrhage ,disorder,C2937358
87557004,Urge incontinence of urine ,finding,C0150045
49472006,Megaloblastic anemia due to vitamin B>12< deficiency ,disorder,C0815316
92814006,"Chronic lymphoid leukemia, disease ",disorder,C0023434
362971004,Disorder of lymphatic system ,disorder,C0024228
18114009,Prenatal examination and care of mother ,procedure,C0419589
397881000,Diverticular disease ,disorder,C4317009
67198005,Paroxysmal supraventricular tachycardia ,disorder,C0030590
105629000,Chlamydial infection ,disorder,C0008149
90176007,Tonsillitis ,disorder,C0040425
46152009,Tear film insufficiency ,disorder,C0043349
22325002,Abnormal gait ,finding,C0575081
52684005,Assault ,event,C0004063
217082002,Accidental fall ,event,C0000921
70536003,Transplant of kidney ,procedure,C0022671
262286000,Weight increased ,finding,C0043094
28651003,Orthostatic hypotension ,disorder,C0020651
75694006,Pancreatitis ,disorder,C0030305
17222009,Closed fracture of distal end of radius ,disorder,C0272644
57759005,First degree perineal laceration ,disorder,C0269863
304253006,Not for resuscitation ,finding,C0582114
266433003,Gastroesophageal reflux disease with esophagitis ,disorder,C0677659
10725009,Benign hypertension ,disorder,C0264637
428078001,History of total hysterectomy ,situation,C1998419
193093009,Bell's palsy ,disorder,C0376175
48867003,Bradycardia ,finding,C0428977
65323003,Polymyalgia rheumatica ,disorder,C0032533
299709002,Dental abscess ,disorder,C0518988
73391008,Dysplasia of cervix ,disorder,C0007868
80327007,Serous otitis media ,disorder,C0271453
116143008,Total abdominal hysterectomy ,procedure,C0404079
310249008,Follow-up orthopedic assessment ,finding,C0587770
41291007,Angioedema ,disorder,C0002994
128060009,Venous varices ,disorder,C0042345
52734007,Total replacement of hip ,procedure,C0040508
367336001,Chemotherapy ,procedure,C3665472
45352006,Spasm ,finding,C0037763
39898005,Sleep disorder ,disorder,C0851578
53430007,Pain of breast ,finding,C0024902
785696007,Malabsorption syndrome due to intolerance to lactose ,disorder,C5191627
3424008,Tachycardia ,finding,C0039231
53726008,Acute conjunctivitis ,disorder,C0155141
118600007,Malignant lymphoma ,disorder,C0024299
6456007,Supraventricular tachycardia ,disorder,C0039240
66999008,Hyperparathyroidism ,disorder,C0020502
41565005,Periodontitis ,disorder,C0031099
428262008,History of malignant neoplasm of prostate ,situation,C1998449
275531008,History of pacemaker in situ ,situation,C0558977
697929007,Intermittent hypertension ,disorder,C3669043
297242006,Family history of ischemic heart disease ,situation,C1313980
420279001,Renal disorder due to type 2 diabetes mellitus ,disorder,C1720457
72274001,Nerve root disorder ,disorder,C1527351
414875008,Nonexudative age-related macular degeneration ,disorder,C0271083
289259007,Vaginal delivery ,finding,C0566690
765378003,History of primary malignant neoplasm of skin ,situation,C4707419
398057008,Tension-type headache ,disorder,C0033893
200681001,Cellulitis and abscess of lower leg ,disorder,C0406085
373621006,Chronic pain syndrome ,disorder,C1298685
267024001,Abnormal weight loss ,finding,C0936227
267432004,Pure hypercholesterolemia ,disorder,C0678189
54398005,Acute upper respiratory infection ,disorder,C0264222
102594003,Electrocardiogram abnormal ,finding,C0522055
277843001,Problem behavior ,finding,C0233514
62479008,Acquired immune deficiency syndrome ,disorder,C0001175
71444005,Cerebral arterial thrombosis ,disorder,C0795687
128241005,Inflammatory disease of liver ,disorder,C0019158
373108000,Post percutaneous transluminal coronary angioplasty ,finding,C1269832
64226004,Colitis ,disorder,C0009319
90968009,Prolonged pregnancy ,disorder,C0032993
36923009,"Major depression, single episode ",disorder,C0024517
75183008,Abnormal liver function ,finding,C0086565
71186008,Croup ,disorder,C0010380
429740004,Family history of malignant neoplasm of breast ,situation,C1261325
201091002,Skin tag ,disorder,C0037293
237602007,Metabolic syndrome X ,disorder,C0524620
62014003,Adverse reaction caused by drug ,disorder,C0041755
111359004,Diverticulitis of colon ,disorder,C0012814
444733009,Preoperative cardiovascular examination ,procedure,C2919753
4855003,Retinopathy due to diabetes mellitus ,disorder,C0011884
6738008,Female infertility ,disorder,C0021361
84494001,Open-angle glaucoma ,disorder,C0017612
30128009,Tietze's disease ,disorder,C0040213
165816005,Human immunodeficiency virus positive ,finding,C0019699
133906008,Postpartum care ,regime/therapy,C0032782
235919008,Gallbladder calculus ,disorder,C0947622
314956000,Borderline blood pressure ,finding,C1278395
266113007,Genital warts ,disorder,C0009663
31541009,Sarcoidosis ,disorder,C0036202
398064005,Neurogenic bladder ,finding,C0005697
191889006,Tobacco dependence in remission ,disorder,C0338726
56018004,Wheezing ,finding,C0043144
274774002,Elevated level of transaminase and lactic acid dehydrogenase ,finding,C0558818
307759003,Helicobacter pylori gastrointestinal tract infection ,disorder,C0585625
389026000,Ascites ,disorder,C0003962
45007003,Low blood pressure ,disorder,C0020649
84017003,Bursitis ,disorder,C0006444
17369002,Miscarriage ,disorder,C4552766
432415000,Methicillin resistant Staphylococcus aureus carrier ,finding,C2317549
31822004,Urethritis ,disorder,C0041976
12574004,Noninfectious gastroenteritis ,disorder,C0267418
363478007,Malignant tumor of thyroid gland ,disorder,C0007115
1163215007,Pressure injury ,disorder,C4554531
50219008,Hoarse ,finding,C0019825
95891005,Influenza-like illness ,finding,C0521839
9713002,Prostatitis ,disorder,C0033581
63440008,Verruca plantaris ,disorder,C0042548
