Entity,Match,Matched Entity,Score
asthma,True,Schizophrenia,0.9283856
"asthma,",True,"Asthma, unspecified",0.87941664
CAP,True,Pneumonia,0.89980185
Asthma,True,Schizophrenia,0.9283856
seizures,True,Paralysis,0.9102442
"seizure,",True,"Seizure, unspecified",0.86388195
back pain.,True,Back pain,0.8618936
pain,True,Pain,1.0000001
seizure,True,Rash,0.9438721
aggitated,False,Contusion,0.7634652
recurrent seizures,True,"Epilepsy, complex partial seizures w status epilepticus",0.8564576
agitation,True,Agitation,1.0
wheezing,True,Wheezing,1.0
Ventilator associated pneumonia:,True,Ventilator associated pneumonia,0.9257158
fever,True,Fever,0.9999998
diuresed,False,IUD removal,0.8231169
elevated Cr 1.9,False,Elevated CA 19-9,0.7645469
low BPs,False,BPAP dependence,0.75187016
#Hypertension:,False,HTN (Hypertension),0.81499875
back pain,True,Back pain,1.0000002
leukocytosis,True,Leukocytosis,0.99999994
Hyperglycemia:,True,Hyperglycemia,0.94601524
Constipation.,True,Constipation,0.9400802
pain/fever.,False,Drug induced fever,0.79004383
sleep.,True,Sleep talking,0.9105282
SOB.,False,Miosis,0.7857534
longer than 5 minutes.,False,Chronic back pain > 3 months,0.6687438
asthma.,False,"Intermittent asthma, controlled",0.8458489
"seizures,",False,Persistent vomiting,0.803468
ALL,True,Fatigue,0.86994475
cardiomyopathy,True,Secondary cardiomyopathy,0.9723225
nausea,True,Nausea,0.99999976
"abdominal pain,",True,Abdominal pain,0.8851274
pain.,True,Pain crisis,0.8861784
ascites,True,Ascites,0.99999976
nausea.,False,Choking sensation,0.8089423
"pain,",True,Pain crisis,0.87885404
"constipation,",True,Constipation,0.89251435
ALL:,False,Incomplete SAB,0.6749383
ALL.,False,Rash,0.7562199
leukemia,True,Arthritis,0.9506539
GVHD,False,ADHD,0.78183633
Embolic stroke,False,Hx of embolic stroke,0.81690025
Cardiomyopathy,True,Secondary cardiomyopathy,0.9723225
cardiotoxicity,False,Hypertensive cardiomyopathy,0.8334503
ascites.,True,Ascites,0.90567005
ascites..,False,Ascites,0.7694961
gas.,False,Iron overdose,0.77406454
abdominal pain,True,Abdominal pain,1.0000001
antispasmodic effect.,False,Hyperosmolality,0.779617
cardiomyopathy:,True,Secondary cardiomyopathy,0.94883436
diuresis,True,Enuresis,0.86938107
peripheral edema/ascites,True,Adenomatous thyroid goiter,0.8565615
GVHD.,False,ADHD,0.69150406
tachycardia,True,Tachycardia,1.0
overdiuresis,False,Tungiasis,0.80120015
diuresis.,False,Tungiasis,0.8078333
"cardiomyopathy,",True,"Cardiomyopathy, unspecified",0.9302258
"diuresis,",False,Enuresis,0.8226799
therapeutic INR,False,Viral exanthem,0.7904439
sob,True,Loneliness,0.8736292
wheeze.,False,Wheezing,0.7858802
constipation.,True,Constipation,0.9400802
abdominal pain.,True,Abdominal pain,0.8789288
leukemia.,False,Chronic arthritis,0.8268075
abdominal discomfort/gas,False,Rebound abdominal tenderness,0.8273003
prevent infection,False,Oral infection,0.8360454
seizure prophylaxis,False,Neutropenia due to chemotherapy,0.8191205
eye discharge,True,Eye discharge,0.99999976
oral sores,False,Fungal sinusitis,0.8330724
rash,True,Rash,0.9999998
"fevers,",False,Malarial fever,0.8137598
"weakness,",True,Pain crisis,0.85184693
diarrhea.,True,Diarrhea,0.9201715
cystic tumor status,True,"Benign neoplasm, right epididymis",0.85512197
decrease insensible losses.,False,Demand ischemia,0.7630458
Infectious Disease,True,Infectious disease carrier,0.9345914
Infectious Disease:,True,Infectious disease carrier,0.8767998
GIB,False,Rash,0.8042171
pneumonia,True,Pneumonia,1.0000001
MRSA.,True,MRSA carrier,0.8770186
aspiration PNA.,False,Colon polyp,0.7930505
hematoma,True,Hematoma,1.0
Orthostatic hypotension,True,Orthostatic hypotension,1.0
Depression,True,Schizophrenia,0.9308648
pneumonia.,True,Pneumonia,0.8591357
large abdominal wall hematoma,True,Right thigh hematoma,0.8800334
Pneumonia:,True,Chronic pneumonia,0.8544209
MRSA,True,MRSA carrier,0.9028774
Pseudomonas,True,Pseudomonas UTI,0.9201676
Pulmonary embolism/DVTs:,True,Fhx of pulmonary embolism,0.90572256
rectus hematoma.,True,Subdural hematoma due to birth trauma,0.87073433
Abdominal wall hematoma:,True,Scalp hematoma,0.8849062
rectus hematoma,True,Hematoma,0.91148186
Zoster:,False,Right Herpes zoster keratitis,0.73058045
Candidal vaginitis:,True,Acute vaginitis,0.90330917
Hyperlipidemia:,True,Hyperlipidemia,0.94530934
Depression/SAD:,False,Adjustment disorder w depressed mood,0.79279244
Ulcerative Colitis:,True,ulcerative mucositis due to nonantineoplastic drugs,0.91986185
Orthostatic hypotension:,True,Orthostatic hypotension,1.0
anxiety.,False,Nervousness,0.8241507
wheezing.,True,Wheezing,0.8805762
Pneumonia,True,Pneumonia,1.0000001
GI Bleed (extensive),False,"AV block, complete",0.7184074
"Abdominal wall hematoma,",True,"Adenocarcinoma, chest wall",0.8855773
"Vagnitis,",False,Panniculitis,0.8129105
"renal transplants,",False,Organ transplant rejection,0.8397926
AF,False,Arthritis,0.83196414
infection.,False,Viral pneumonia,0.8446835
adrenal insufficiency.,True,"Adrenal insufficiency, unspecified",0.9816049
hyperkalemia.,True,Hyperkalemia,0.92608744
LFTs were significantly elevated,False,Presence of PICC line,0.6992806
Atrial fibrillation,True,Chronic atrial fibrillation,0.96591854
renal transplant,True,Kidney transplant rejection,0.90604275
renal transplant.,True,Heart transplant rejection,0.86142933
Elevated LFTs/coagulopathy:,False,Hx of coagulopathy,0.81846225
Atrial fibrillation:,True,"Atrial fibrillation, permanent",0.9297784
renal transplants.,False,Organ transplant rejection,0.8303831
elevated PTH.,False,Elevated CA 125,0.78485656
thrombocytopenia.,True,Thrombocytopenia due to alcoholism,0.9598948
thrombocytopenia,True,Primary thrombocytopenia,0.9805348
to control phosphorus because of kidney failure.,False,Acute renal failure due to contrast agent,0.82736766
decompression,True,Decompression sickness,0.9280876
"VAP,",False,RSV pneumonia,0.7999171
VAP.,False,RSV pneumonia,0.8169526
Acute Renal failure:,True,Acute renal failure due to obstruction,0.88893074
dehydration with free water deficit,True,Moderate dehydration,0.8545008
decompression.,True,Decompression sickness,0.8630395
"beta blocker toxicity,",True,Poisoning by beta blocker,0.87585485
Leukopenia/thrombocytopenia,True,Dysembryoplastic neuroepithelial tumor,0.87672687
dry eyes,True,Dry mouth,0.91510355
Sedation,False,Anemia,0.7943003
in,True,Mania,0.85974395
breakthrough pain.,False,Pain crisis,0.8361996
"AML,",False,Goldblatt HTN,0.6754019
hypotensive,True,Hypotension,0.8704392
transfusion reaction,True,Blood transfusion reaction,0.93593335
GERD,False,Hx of GERD,0.7057729
MDS with AML transformation,False,HX of Amplatzer atrial septal defect closure,0.7772973
bloody bowel movements,True,Absent bowel sounds,0.8885843
bloody watery stools,False,Foul smelling urine,0.7233965
thrombocytopenia:,True,Primary thrombocytopenia,0.9569541
two,False,Loneliness,0.76409084
transfusion reactions,True,Blood transfusion reaction,0.8696799
positive PRA,False,Rh negative,0.807287
transfusion reaction/PRA,False,Hematoma of dialysis access,0.8116645
PRA positive,False,Rh positive,0.8329526
MDS with AML transformation:,False,HX of Amplatzer atrial septal defect closure,0.7387754
GERD:,False,Hx of GERD,0.729448
constipation:,True,Constipation,0.8988316
bloody bowel movements.,False,Change in bowel habit,0.81969094
PRA positive;,False,"Type AB blood, Rh negative",0.7822182
thrombolysis,False,Dilutional thrombocytopenia,0.84146374
"rectal CA,",False,Bilat lower cicatricial entropion,0.733984
"DMII,",False,MRSA carrier,0.7502956
thrombolysis.,True,"Thrombocytosis, unspecified",0.85036844
DMII-,False,DM 2,0.7651085
Rectal CA-dx,False,Bilat chlamydial conjunctivitis,0.7351924
rectal CA,False,Rectal tenesmus,0.7966641
peri-catheter thrombus,True,Catheter complication,0.87610453
Rectal CA-Pt,False,Recurrent UTI,0.71465564
Diarrhea-,True,Diarrhea,0.90242183
"volume overload,",False,Demand ischemia,0.73494524
staph,True,Staph carrier,0.8909161
Atrial fibrillation/flutter,True,"Atrial fibrillation, persistent",0.9152787
"wheeze,",False,Wheezing,0.79019856
pneumonia:,True,Chronic pneumonia,0.8544209
"pneumonia,",False,Eye disorder,0.8426182
insomnia.,True,Insomnia,0.92023706
shortness of breath,False,Stumbling due to lack of coordination,0.8002777
"dyspnea,",True,Dyspnea,0.91803235
itching.,False,Choking sensation,0.7508227
Apply to groin.,False,Right nipple inversion,0.7366327
dryness.,False,Nasal dryness,0.82079434
mucus.,False,Fecal smearing,0.7673024
line flush,True,Callosity,0.85735977
insomina.,False,MRSA pneumonia,0.7996677
pain/cramping.,False,Sleep related leg cramps,0.8242892
slurred speech,True,Slurred speech,1.0000001
severe COPD,False,CMV hepatitis,0.7844431
hypercarbia,False,Hypercarotenemia,0.75567555
anxiety,True,Confusion,0.8885008
low,True,Fatigue,0.89136344
agitated,True,Headache,0.9217794
hyperglycemia,True,Hyperglycemia,1.0
respiratory depression.,False,"Intermittent asthma, controlled",0.84773064
COPD exacerbation,True,Acute exacerbation of COPD,0.87435675
agitation.,False,Agitation,0.8336885
chest pain,True,Chest pain,1.0
decreased respirations,True,Painful respirations,0.87670064
somnolence,True,Daytime somnolence,0.87124974
"hypercarbia,",False,"Spastic hemiplegia, left dominant side",0.81699586
pain control.,False,Muscle fatigue,0.7937572
"anxiety,",True,Nervousness,0.86396253
chest pain:,True,Chest pain,0.8692571
anxiety:,False,Separation anxiety,0.82467127
constipation,True,Constipation,1.0
SOB/wheeze,False,Wheezing,0.8027829
SOB,True,Loneliness,0.8736292
dyspnea.,True,Dyspnea,0.9395013
back pain:,True,Back pain,0.8876817
mental status changes,False,"Altered mental status, unspecified",0.8084202
severe COPD.,False,Chronic DVT of bilat axillary veins,0.78161097
metastatic adenocarcinoma,True,Adenocarcinoma metastatic to bilat kidneys,0.9326607
pain control,True,Pain crisis,0.8918837
rate control;,False,Gun safety counseling,0.7796608
edema,True,Edema,1.0000001
DVT,False,DM 2,0.8471315
nodule,False,Callosity,0.8444833
edema.,True,Edema,0.8518543
"edema,",False,Edema,0.80624336
diarrhea,True,Diarrhea,0.9999999
DVT/PE,False,Fhx of DM,0.75276613
"pain control,",False,Pain crisis,0.7900981
breakthrough pain,True,Breakthrough bleeding,0.9378226
Nausea.,False,Choking sensation,0.8089423
apneic,False,Rh negative,0.7531029
SCC of lung:,False,Hx of lung transplant,0.7687073
HTN,True,Secondary HTN,0.8592864
IDDM,True,Id reaction,0.9065342
apnea,True,Apnea,1.0000002
coughing up phlegm.,False,Vomiting of fecal matter,0.75865173
apnea/hypoxia,True,Hypoxia,0.9016986
IDDM:,False,Hx of STI,0.7528929
HTN:,False,FHX of HTN,0.7840899
diabetes mellitus,True,Neonatal diabetes mellitus,0.9013135
difficulty breathing.,False,Difficulty feeding self,0.8205513
difficulty breathing,True,Impaired swallowing,0.85188115
decreased oxygen levels,False,Elevated blood alcohol level,0.8182117
cellulitis.,True,Cellulitis,0.93411624
Diabetic Ketoacidosis.,True,"Ketoacidosis due to acute alcohol intoxication, unspecified type of alcohol use",0.8781055
"cellulitis),",True,Cellulitis,0.87067556
foot ulcer,True,Anal ulcer,0.93680894
"cellulitis,",True,Cellulitis,0.9288204
abscess/cellulitis/drug,True,Subhepatic abscess,0.8571765
"foot ulcer,",True,"Chronic ulcer of back, bone necrosis",0.85577714
abscess,True,Abscess,0.9999999
Diabetic Ketoacidosis:,True,"Ketoacidosis due to acute alcohol intoxication, unspecified type of alcohol use",0.8781055
increasing glucose levels.,False,Impaired glucose tolerance,0.7903809
Anemia:,True,Anemia,0.9134953
Iron supplementation,False,Essential fatty acid deficiency,0.8038105
Skin lesions:,True,Skin infection,0.85028124
"drug reaction,",False,Drug overdose,0.8242111
Rash.,False,Rash,0.8484302
pruritis.,True,Prostatitis,0.8613775
Diabetic Ketoacidosis,True,"Ketoacidosis due to acute alcohol intoxication, unspecified type of alcohol use",0.8781055
foot infection.,True,Dental infection,0.8801279
"respiratory distress,",True,Respiratory distress,0.87054193
hypotension.,True,Hypotension,0.9213747
Chronic obstructive pulmonary disease,True,Chronic obstructive asthma,0.9253963
Hypertension.,False,HTN (Hypertension),0.8307024
"Coronary artery disease,",True,"Neonatal pulmonary hemorrhage, unspecified",0.89343524
tachycardiac.,True,Atrial tachycardia,0.85043097
tachycardiac,True,Neonatal tachycardia,0.88784647
Chronic obstructive pulmonary disease/respiratory,True,Chronic obstructive asthma,0.9106958
respiratory distress,True,Respiratory distress,1.0
Hypotension,True,Hypotension,1.0000002
Hypertension,False,Kidney disease,0.8440958
Coronary artery disease,True,Syphilitic coronary artery disease,0.9099872
"hypotension,",True,Hypotension,0.9233956
Renal failure,True,Renal failure,1.0
Prophylaxis,False,Prophylactic chemotherapy,0.8025352
Chronic obstructive pulmonary disease.,True,Chronic obstructive asthma,0.91527164
Coronary artery disease.,True,Coronary arteritis,0.89104974
Finger stick was 50,False,Acquired right mallet finger,0.76350254
combative,False,Hostility,0.74388593
screaming,True,Bleeding,0.8807311
"hepatic encephalopathy,",True,Hepatic encephalopathy,1.0
"carbapenemase-resistant E.coli,",True,Carbapenem resistant enterobacterales infection,0.86679447
hepatorenal syndrome.,True,Hepatorenal syndrome,0.96243477
"DIC,",False,RSV pneumonia,0.77541924
DIC.,False,RSV pneumonia,0.7032395
sedation.,False,Anemia,0.8076709
aspiration pneumonia,True,Aspiration pneumonia,0.9999999
Schizophrenia,True,Schizophrenia,1.0000001
UTI.,False,Upper UTI,0.8141783
UTI-,True,Upper UTI,0.86621594
Pulmonary Emboli:,True,Recurrent pulmonary embolism,0.8738215
