Entity,Match,Matched Entity,Score
09/29/1993,False,Elevated CA 27-29,0.59938484
10-04-1993,False,Elevated CA 27-29,0.5689242
HIV positive,True,HIV positive,0.99999994
two years,False,Starvation,0.7680343
left upper quadrant pain,True,Left lower leg pain,0.8684652
a long-standing complaint,False,Problems related to other legal circumstances,0.68558216
the birth of her child,False,Triplet pregnancy,0.74169135
blood transfusions,True,Blood transfusion reaction,0.88517547
the birth of her children,False,Triplet pregnancy,0.7100888
heterosexual transmission,False,Pregnancy termination,0.8314958
that time,False,Headache,0.75780684
cat scratch fever,True,Cat scratch disease,0.94672716
an abscess in the left lower extremity,False,Abscess of bursa of left ankle,0.8432789
any anti retroviral therapy,True,Long term antiviral therapy,0.9069984
the past month,False,Confusion,0.64109707
similar pain,True,Fatigue,0.85246027
last year,False,Burnout,0.75692165
the pain,True,Pain,0.86682385
a burning pain,False,Pain crisis,0.8382225
H2 blockers,False,Poisoning by H2 receptor blocker,0.8057479
a CT scan,False,Abnl chest CT scan,0.80468374
fatty infiltration of her liver diffusely,True,Acute ischemia of colon due to mesenteric vein thrombosis,0.86092615
a 1 cm cyst in the right lobe of the liver,False,Right popliteal cyst,0.80321693
a normal pancreas,True,Annular pancreas,0.86279404
hyperdense kidneys,False,Renal agenesis,0.82373583
Her alkaline phosphatase,True,Elevated alkaline phosphatase,0.9182292
slightly elevated,False,Normal hearing,0.80989665
Her amylase,False,Ketosis,0.7759104
mildly elevated,False,Poisoning by nitrate,0.777116
progressive failure to thrive,False,Failure to thrive in newborn,0.8084173
steady weight loss,True,Slow weight gain,0.90632296
an esophagogastroduodenoscopy,False,Esophagostomy mechanical complication,0.7976978
this time,False,Headache,0.67610145
a GI work-up,False,Anal skin tag,0.6649163
an evaluation,False,Declines procedure,0.81136066
new abscess in her left lower calf,True,Right thigh abscess,0.8600668
connected up with social services,False,Needs assistance with community resources,0.7438976
many cultures,False,Extreme poverty,0.7789488
all negative,False,Rh negative,0.79521865
her pain,True,Pain,0.86931145
the hospital,False,Institution resident,0.7945506
the third hospital day,False,Epidemic vertigo,0.73143345
some pain,False,Pain,0.84353733
a debridement,False,Wound dehiscence,0.72813785
her left calf lesion,False,Left nipple lesion,0.84579647
IV ceftriaxone,False,Enoxaparin overdose,0.8486762
po doxycycline,True,Right hydroxychloroquine retinopathy,0.8542421
the day of,False,Pain crisis,0.72596276
discharge discharge .,False,Penile discharge,0.76958394
A follow-up CT scan,False,Blood transfusion reaction,0.7704526
The 1 cm cyst,False,Pilar cyst,0.81228495
a cyst in her kidney,False,"Dermoid cyst, right ovary",0.77033913
a stone,False,Tremor,0.8106278
the cyst,False,Pilar cyst,0.8279576
02-01-2000,False,"46, XX true hermaphrodite",0.54201347
02-08-2000,False,"46, XX true hermaphrodite",0.5184493
peripheral vascular disease,True,Secondary peripheral vascular disease,0.95791197
knee to fem pop bypass graft,False,Presence of stent of bypass graft,0.84571457
6 millimeter PTFE,False,Hx of yag laser capsulotomy,0.70854336
This operation,False,Declines procedure,0.81517935
two months,False,Starvation,0.75397676
increased rest pain,False,Joint pain,0.8320911
Her pain,True,Pain,0.86931145
minimally ambulatory,False,Ambulatory oxygen therapy dependence,0.7936231
couple of months,False,Irregular periods,0.6822694
a non-healing right dorsal foot ulcer,False,Open right ankle medial malleolus Fx,0.83934295
increasing in size,False,Decline in functional status,0.7461299
a pin hole,False,Accidental needle stick,0.77245814
recollect,False,Face cancer,0.7110885
any trauma,False,Excess skin,0.82289666
similar small ulcers,False,Bilat corneal ulcer,0.81385446
the same time,False,Normal hearing,0.70887345
The ulcer,False,Anal ulcer,0.8466213
managed conservatively,False,Institutional upbringing,0.75409865
Har Hospital,False,Epsteins pearl,0.7417959
Silvadene,False,Apraxia,0.78059816
b.i.d.,False,Bilat TMJ pain,0.5858989
lower extremity non-invasive study,False,Presence of implantable subdermal contraceptive,0.8251729
showed,True,Arthritis,0.88385457
poor distal right extremity perfusion,False,Osteolysis of left distal clavicle,0.83397394
a revascularization procedure,False,Sterilization reversal procedure,0.8127494
angiography,False,Hemodialysis visit,0.7676467
a ten day,False,Long sleeper,0.70220137
rest pain in the right foot and ankle,False,Burn of right ankle,0.83060527
the operating room,False,Rectal bleeding,0.69361025
the following day,False,Headache,0.6153039
a right fem to below knee popliteal bypass graft,False,Hx of bilat below knee amputation,0.8160211
a six millimeter ring PTFE,False,Hx of flexible sigmoidoscopy,0.69179046
popliteal doppler pulse,False,Refractive diplopia,0.7568927
the postoperative period,False,"AV block, postoperative",0.82055545
her vital signs,False,Fecal urgency,0.7457561
urine output,False,Thyroid mass,0.79988587
an hour,False,Starvation,0.71811974
Her hematocrit,False,Fhx of hematopoietic cancer,0.8171658
packed red blood cells,False,Giant cell tumor,0.74703145
Her diet,False,Headache,0.7791588
a diet as tolerated,False,Adult nutritional neglect,0.7571323
postoperative day two,False,Postoperative ileus,0.7845945
some swelling in her left lower extremity,False,Localized swelling on left lower leg,0.8076433
a hematoma,True,Hematoma,0.9214267
