Entity,Match,Matched Entity,Score
HIV positive,True,HIV positive,1.0
left upper quadrant pain,True,Left quadrantanopia,0.95600176
nausea,True,Nausea,0.9999999
vomiting,True,Vomiting,0.99999976
a long-standing complaint,True,Chronic left foot pain,0.8780924
heterosexual transmission,True,Intersexuality,0.9244418
cat scratch fever,True,Cat scratch disease,0.97704256
an abscess in the left lower extremity,True,Left arm abscess,0.95499706
pancytopenia,True,Pancytopenia,0.99999976
similar pain,True,Acute pain,0.92368287
the pain,True,Pain crisis,0.92278844
a burning pain,True,Burning sensation of skin,0.9305005
fatty infiltration of her liver diffusely,True,Right corneal infiltrate post PK,0.9077853
a 1 cm cyst in the right lobe of the liver,True,Bilat primary cyst of pars plana,0.93073195
hyperdense kidneys,True,Left renal artery hyperplasia,0.90701807
slightly elevated,True,Elevated CEA,0.9002557
mildly elevated,True,Elevated CEA,0.90105295
progressive failure to thrive,True,"Failure to thrive, child",0.92347103
steady weight loss,True,Slow weight gain,0.94703394
new abscess in her left lower calf,True,"Abscess, left eyelid",0.95752215
HIV,True,HIV positive,0.9351773
her pain,True,Pain crisis,0.93062955
some pain,True,Pain crisis,0.92529047
her left calf lesion,True,Left shoulder slap lesion,0.9494281
evidence,True,Angry,0.9337443
splenomegaly,True,Splenomegaly,0.99999976
hepatomegaly,True,Hepatomegaly,0.99999994
The 1 cm cyst,True,Bilat primary cyst of pars plana,0.9119526
a cyst in her kidney,True,Right breast cyst,0.9390875
a stone,True,Bladder calculus,0.8774687
the cyst,True,Liver cyst,0.94361037
peripheral vascular disease,True,Secondary peripheral vascular disease,0.9659542
increased rest pain,True,Generalized pain,0.9095489
Her pain,True,Pain crisis,0.93062955
minimally ambulatory,True,Ambulatory oxygen therapy dependence,0.91528237
a non-healing right dorsal foot ulcer,True,"Pressure ulcer of right foot, unspecified stage",0.9368962
increasing in size,True,Effects of water pressure,0.8736523
a pin hole,True,Pallor,0.89083844
any trauma,True,Traumatic shock,0.8987181
similar small ulcers,True,Labial ulceration,0.9291673
The ulcer,True,Ulcer of artery,0.937705
poor distal right extremity perfusion,True,Tendon disorder of left lower leg,0.9127094
fevers,True,Scarlet fever,0.92297935
chills,True,Chills,1.0
rest pain in the right foot and ankle,True,Chronic right foot pain,0.93900996
afebrile,True,Pseudomonas enteritis,0.87815744
some swelling in her left lower extremity,True,Localized swelling on left lower leg,0.94977546
a hematoma,True,Traumatic hematoma,0.96064395
surrounding erythema,True,Erythema,0.9571917
erythema on her left leg,True,Skin lesion of left ear,0.93327516
her erythema,True,Toxic erythema,0.95957786
wounds,True,Fever,0.9560674
metastatic cervical cancer,True,Cancer metastatic to cervix,0.9512427
malignant pericardial effusion,True,Malignant pericardial effusion,1.0000002
a 4x3.6x2 cm cervical mass,False,Incomplete C1-C4 quadriplegia,0.79051334
a fibroid,True,"Fibroma, mouth",0.9384514
poorly differentiated squamous cell carcinoma of the cervix,True,"Squamous cell carcinoma in situ, skin",0.9710916
metastatic squamous cell carcinoma in the cardinal ligaments,True,Squamous cell carcinoma metastatic to bilat lung,0.9714163
extensive lymphatic invasion,True,Cervical lymphadenopathy,0.89918166
stage 2B disease,True,"Soft tissue cancer, head",0.8694856
bilateral cystic adnexal masses,True,Right ovarian cyst,0.95104015
tumor,True,Pneumonia,0.93632615
peritubal and periovarian adhesions,True,Peritubal adhesions,0.9254426
shortness of breath,True,Dyspnea,0.8918961
a dry non-productive cough,True,Benign exertional headache,0.87848336
wheezing,True,Wheezing,1.0000001
asthma,True,Intermittent asthma,0.9663453
sinus tachycardia,True,Sinus tachycardia,0.9999999
pericardial effusion,True,Pericardial effusion,1.0000001
a 10 mm pulsus paradoxus,True,Bilat objective pulsatile tinnitus,0.9060721
tamponade,True,Cardiac tamponade,0.9631369
cervical cancer,True,Endocervical cancer,0.9794186
the pericardial effusion,True,Pericardial effusion,0.9825237
malignant,True,Neoplasm,0.9145616
a new pericardial effusion,True,Pericardial effusion,0.91997427
moderate anterior pericardial effusion,True,Pericardial effusion,0.947231
diastolic indications of the right ventricle,True,"Diastolic heart failure, acute on chronic",0.9070328
low velocity paradox,True,Effects of high pressure fluids,0.9047825
pulmonary wheezing,True,Wheezing,0.9634046
a malignant lymphangitic spread,True,"Malignant carcinoid tumor, appendix",0.9301921
pericardial involvement,True,Viral pericarditis,0.94771254
infectious,True,Corn,0.97241056
other cardiovascular causes,True,Hypertensive heart disease,0.9232466
viral bronchiolitis,True,Bronchiolitis,0.977569
fairly significant AA gradient,True,Presence of AICD,0.90958786
a new junctional rhythm,True,AV junctional rhythm,0.9465954
a new rub,True,Black piedra,0.9079331
murmur,True,Innocent murmur,0.89915407
a rub,True,Q fever,0.90985096
an ectopic low atrial P,True,Atrial ectopic tachycardia,0.9227994
the upper limits of normal for size,False,"Hx of low birth weight status, 2000-2500 gm",0.84682983
low normal function,True,Normal hearing,0.91311085
moderate to mild effusion,True,Effusion of joint,0.9154921
the effusion,True,Effusion of joint,0.92929083
lymphangitic spread,True,Lymphangitis,0.97569615
cancer in the chest,True,Cancer metastatic to abdominal organ,0.92212665
pulmonary nodules in the chest,True,Multiple pulmonary nodules,0.9573692
multiple liver metastases,True,Cancer metastatic to abdominal organ,0.9236944
