Entity,Match,Matched Entity,Score
asthma,True,Intermittent asthma,0.9663453
"asthma,",True,Intermittent asthma,0.9645652
CAP,False,Canities,0.84283614
Asthma,True,Intermittent asthma,0.9663453
seizures,True,Focal motor seizure,0.9111248
"seizure,",True,Focal motor seizure,0.90880084
back pain.,True,Back pain,0.9825941
pain,True,Pain,1.0000002
seizure,True,Deaf,0.97557265
aggitated,True,Microgyria,0.9131438
recurrent seizures,True,"Epilepsy, complex partial seizures w status epilepticus",0.9122485
agitation,True,Agitation,1.0
wheezing,True,Wheezing,1.0000001
Ventilator associated pneumonia:,True,Ventilator associated pneumonia,0.98548615
fever,True,Fever,1.0000001
diuresed,True,Enuresis,0.89839107
elevated Cr 1.9,True,Elevated CPK,0.910692
low BPs,True,Elevated BP reading wo HTN diagnosis,0.8943989
#Hypertension:,True,Hypertensive heart disease w unspecified CHF,0.89327216
back pain,True,Back pain,1.0
leukocytosis,True,Leukocytosis,0.99999976
Hyperglycemia:,True,Hyperglycemia,0.9871086
Constipation.,True,Constipation,0.98633146
pain/fever.,True,Generalized abdominal pain,0.9308797
sleep.,True,Sleep talking,0.98089635
SOB.,True,MSSA pneumonia,0.9139315
longer than 5 minutes.,True,Hx of blood disease,0.85611475
asthma.,True,Intermittent asthma,0.9654995
"seizures,",True,Infantile spasms,0.92063934
ALL,True,Corn,0.96020454
cardiomyopathy,True,Secondary cardiomyopathy,0.98157126
nausea,True,Nausea,0.9999999
"abdominal pain,",True,Abdominal pain,0.9770193
pain.,True,Pain crisis,0.9662105
ascites,True,Ascites,0.99999994
nausea.,True,Vomiting,0.93261296
"pain,",True,Pain crisis,0.9579096
"constipation,",True,Constipation,0.98438
ALL:,False,Bruit,0.8147755
ALL.,True,Ainhum,0.8840443
leukemia,True,Plasma cell leukemia,0.943951
GVHD,True,HIV 2 infection,0.93057275
Embolic stroke,True,Cerebral embolism,0.9515441
Cardiomyopathy,True,Secondary cardiomyopathy,0.98157126
cardiotoxicity,True,Thyrotoxic crisis,0.9085151
ascites.,True,Ascites,0.9784696
ascites..,True,Ascites,0.94552875
gas.,True,Gas pain,0.91376317
abdominal pain,True,Abdominal pain,0.9999999
antispasmodic effect.,True,Adverse effect of sympatholytic,0.8855479
cardiomyopathy:,True,Secondary cardiomyopathy,0.9803716
diuresis,True,Enuresis,0.9149268
peripheral edema/ascites,True,"Toxic liver disease w ascites, w chronic active hepatitis",0.9483941
GVHD.,True,AICD infection,0.9372474
tachycardia,True,Tachycardia,1.0000002
overdiuresis,True,Enuresis,0.9287139
diuresis.,True,Enuresis,0.912303
"cardiomyopathy,",True,Secondary cardiomyopathy,0.9784285
"diuresis,",True,Diurnal enuresis,0.9023036
therapeutic INR,True,Poisoning by drug,0.89315426
sob,True,Canities,0.856488
wheeze.,True,Wheezing,0.97313976
constipation.,True,Constipation,0.98633146
abdominal pain.,True,Abdominal pain,0.9875183
leukemia.,True,Plasma cell leukemia,0.95527637
abdominal discomfort/gas,True,Lower abdominal pain,0.9346895
prevent infection,True,Oral infection,0.91832757
seizure prophylaxis,True,Prophylactic antibiotic administration,0.89116484
eye discharge,True,Eye discharge,0.9999999
oral sores,True,Mouth soreness,0.9390185
rash,True,Rash,0.99999994
"fevers,",True,Malarial fever,0.90928876
"weakness,",True,Muscle weakness,0.9324682
diarrhea.,True,Diarrhea,0.9827418
cystic tumor status,True,Cystic hygroma,0.943732
decrease insensible losses.,True,Chignon due to vacuum extraction,0.8805973
Infectious Disease,True,Infectious disease carrier,0.97323024
Infectious Disease:,True,Infectious disease carrier,0.97856534
GIB,True,Gi symptoms,0.9302707
pneumonia,True,Pneumonia,1.0
MRSA.,True,MRSA carrier,0.9869628
aspiration PNA.,True,Neonatal aspiration,0.92141306
hematoma,True,Hematoma,0.99999976
Orthostatic hypotension,True,Orthostatic hypotension,1.0
Depression,True,Fatigue,0.93985194
pneumonia.,True,Bacterial pneumonia,0.94493616
large abdominal wall hematoma,True,Right thigh hematoma,0.95867205
Pneumonia:,True,Bacterial pneumonia,0.9517586
MRSA,True,MRSA carrier,0.9374971
Pseudomonas,True,Pseudomonas infection,0.9679533
Pulmonary embolism/DVTs:,True,Fhx of pulmonary embolism,0.9490863
rectus hematoma.,True,Right orbital hematoma,0.9476173
Abdominal wall hematoma:,True,Right breast hematoma,0.9534714
rectus hematoma,True,Right orbital hematoma,0.9540739
Zoster:,True,Herpes zoster,0.9431921
Candidal vaginitis:,True,"Candida vaginitis, unspecified in pregnancy",0.98239523
Hyperlipidemia:,True,Hyperlipidemia,0.98397243
Depression/SAD:,True,Adjustment disorder w depressed mood,0.9068953
Ulcerative Colitis:,True,Acute ulcerative colitis of unspecified site,0.9875556
Orthostatic hypotension:,True,Orthostatic hypotension,1.0
anxiety.,True,Mood swings,0.9384811
wheezing.,True,Wheezing,0.9795777
Pneumonia,True,Pneumonia,1.0
GI Bleed (extensive),True,Vomiting after GI surgery,0.9187308
"Abdominal wall hematoma,",True,Right thigh hematoma,0.95892316
"Vagnitis,",True,Vasitis,0.91879284
"renal transplants,",True,Awaiting renal transplant,0.9388277
AF,True,IUD surveillance,0.92037266
infection.,True,Viral infection,0.94036436
adrenal insufficiency.,True,"Adrenal insufficiency, unspecified",0.9916431
hyperkalemia.,True,Hyperkalemia,0.9796361
LFTs were significantly elevated,True,Elevated LDH,0.90155923
Atrial fibrillation,True,Chronic atrial fibrillation,0.984798
renal transplant,True,Renal failure,0.96025175
renal transplant.,True,Kidney transplant failure,0.96376693
Elevated LFTs/coagulopathy:,True,Hx of coagulopathy,0.9434501
Atrial fibrillation:,True,Atrial fibrillation w rapid ventricular response,0.9887427
renal transplants.,True,Acute kidney transplant rejection,0.9490446
elevated PTH.,True,Elevated TSH,0.945147
thrombocytopenia.,True,"Thrombocytopenia, unspecified",0.9906097
thrombocytopenia,True,Secondary thrombocytopenia,0.9873035
to control phosphorus because of kidney failure.,True,Dehydration due to radiation,0.9177506
decompression,True,Decompression sickness,0.9719313
"VAP,",True,Elevated CEA,0.90528524
VAP.,True,Pimples,0.9106517
Acute Renal failure:,True,Acute renal insufficiency,0.9726104
dehydration with free water deficit,True,Moderate dehydration,0.94521254
decompression.,True,Decompression sickness,0.97567546
"beta blocker toxicity,",True,Poisoning by beta blocker,0.9513246
Leukopenia/thrombocytopenia,True,"Thrombocytopenia, unspecified",0.94920427
dry eyes,True,Dry mouth,0.9611847
Sedation,True,Drowsiness,0.8878918
in,True,Confusion,0.9364039
breakthrough pain.,True,Central pain syndrome,0.95126545
"AML,",True,PPD positive,0.8969494
hypotensive,True,Hypotension,0.9848254
transfusion reaction,True,Blood transfusion reaction,0.9802787
GERD,True,IUD surveillance,0.9126482
